,index,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Salary_Min,Salary_Max,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,job_title_sim,seniority_by_title,Degree
386,494,Senior LiDAR Data Scientist,3.9,"Luminar Technologies
3.9","Orlando, FL","Orlando, FL",201 - 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,93,151 ,93,151,122.0,Luminar Technologies,FL,9,data scientist,sr,M
387,495,Salesforce Analytics Consultant,3.9,"Emtec, Inc.
3.9","Chicago, IL","Jacksonville, FL",501 - 1000 ,1995,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,0,0,52,81 ,52,81,66.5,"Emtec, Inc.",IL,26,data analitics,na,M
388,496,"Technology-Minded, Data Professional Opportunities",4.7,"Veterans United Home Loans
4.7","Columbia, MO","Columbia, MO",1001 - 5000 ,2002,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,0,0,40,101 ,40,101,70.5,Veterans United Home Loans,MO,19,na,na,na
389,497,Senior Data Engineer,4.7,"Praetorian
4.7","Austin, TX","Austin, TX",51 - 200 ,2010,Company - Private,Security Services,Business Services,$10 to $25 million (USD),-1,0,0,97,180 ,97,180,138.5,Praetorian,TX,11,data engineer,sr,na
390,498,Managing Data Scientist/ML Engineer,3.4,"PA Consulting
3.4","Boston, MA","London, United Kingdom",1001 - 5000 ,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",0,0,81,134 ,81,134,107.5,PA Consulting,MA,78,data scientist,na,na
391,499,"Scientist, Pharmacometrics",3.8,"Agios Pharmaceuticals
3.8","Cambridge, MA","Cambridge, MA",501 - 1000 ,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1,0,0,84,157 ,84,157,120.5,Agios Pharmaceuticals,MA,13,other scientist,na,M
392,500,Staff Scientist- Upstream PD,2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD",201 - 500 ,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1,0,0,49,113 ,49,113,81.0,Advanced BioScience Laboratories,MD,60,other scientist,na,na
393,501,Scientist Manufacturing Pharma - Kentucky BioProcessing,3.1,"Reynolds American
3.1","Owensboro, KY","Winston-Salem, NC",5001 - 10000 ,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,68,139 ,68,139,103.5,Reynolds American,KY,146,other scientist,na,na
394,502,Sr. Data Engineer,3.4,"Echo Global Logistics
3.4","Chicago, IL","Chicago, IL",1001 - 5000 ,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),"C.H. Robinson, Total Quality Logistics, Coyote Logistics",0,0,75,140 ,75,140,107.5,Echo Global Logistics,IL,16,data engineer,sr,na
395,505,Lead Big Data Engineer,4.0,"Glassdoor
4.0","San Francisco, CA","Mill Valley, CA",1001 - 5000 ,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Indeed, LinkedIn",0,0,121,203 ,121,203,162.0,Glassdoor,CA,14,data engineer,sr,na
396,506,Product Engineer – Spatial Data Science and Statistical Analysis,3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,52,85 ,52,85,68.5,Esri,CA,52,data scientist,na,M
397,507,Sr Software Engineer (Data Scientist),3.4,"Assurant
3.4","Westlake, OH","New York, NY",10000+ ,1978,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"Asurion, SquareTrade, National General Insurance",0,0,81,140 ,81,140,110.5,Assurant,OH,43,data scientist,sr,na
398,508,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63,99 ,63,99,81.0,Caterpillar,IL,96,data scientist,na,na
399,509,Senior Data Scientist,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150(Employer est.),110,150,130.0,Equity Residential,IL,28,data scientist,sr,M
400,510,Sr. Data Engineer (ETL Developer),3.7,"F&G
3.7","Des Moines, IA","Des Moines, IA",201 - 500 ,-1,Subsidiary or Business Segment,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,83,148 ,83,148,115.5,F&G,IA,-1,data engineer,sr,na
401,512,Senior Data Scientist Artificial Intelligence,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,60,101 ,60,101,80.5,PNNL,WA,56,data scientist,sr,M
402,516,Analytics - Business Assurance Data Analyst,4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA",501 - 1000 ,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),-1,0,0,31,55 ,31,55,43.0,GreatAmerica Financial Services,IA,29,analyst,na,na
403,517,"Associate Director/Director, Safety Scientist",4.4,"Acceleron Pharma
4.4","Cambridge, MA","Cambridge, MA",201 - 500 ,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0,0,102,178 ,102,178,140.0,Acceleron Pharma,MA,18,director,na,P
404,518,"Senior Scientist, Cell Pharmacology/Assay Development",-1.0,Kronos Bio,"Cambridge, MA","San Mateo, CA",unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,1,Employer Provided Salary:110,130,110,130,120.0,Kronos Bi,MA,-1,other scientist,sr,P
405,519,Data Analyst Senior,3.0,"AmeriHealth Caritas
3.0","Philadelphia, PA","Philadelphia, PA",5001 - 10000 ,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),"UnitedHealth Group, Molina Healthcare, Centene",0,0,48,85 ,48,85,66.5,AmeriHealth Caritas,PA,38,analyst,sr,M
406,520,Lead Data Engineer (Python),4.7,"Strategic Employment Partners
4.7","San Francisco, CA","Los Angeles, CA",51 - 200 ,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,0,0,66,123 ,66,123,94.5,Strategic Employment Partners,CA,15,data engineer,sr,na
407,521,Senior Data Scientist 4 Artificial Intelligence,3.8,"PNNL
3.8","Seattle, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,92,146 ,92,146,119.0,PNNL,WA,56,data scientist,sr,M
408,522,Medical Lab Scientist - MLT,3.2,"Catholic Health Initiatives
3.2","Omaha, NE","Englewood, CO",10000+ ,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Dignity Health, Trinity Health",1,0,21,29 Per Hour,43,60,51.5,Catholic Health Initiatives,NE,25,other scientist,na,na
409,523,"Senior Operations Data Analyst, Call Center Operations",2.7,"FLEETCOR
2.7","Nashville, TN","Peachtree Corners, GA",5001 - 10000 ,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1,1,0,10,17 Per Hour,20,35,27.5,FLEETCOR,TN,21,analyst,sr,na
410,524,"Director II, Data Science - GRS Predictive Analytics",3.3,"Liberty Mutual Insurance
3.3","Chicago, IL","Boston, MA",10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,150,239 ,150,239,194.5,Liberty Mutual Insurance,IL,109,data scientist,na,P
411,525,RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,3.9,"Southwest Research Institute
3.9","San Antonio, TX","San Antonio, TX",1001 - 5000 ,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",0,0,52,91 ,52,91,71.5,Southwest Research Institute,TX,74,other scientist,sr,na
412,526,Geospatial Software Developer and Data Scientist,3.7,"Applied Research Laboratories
3.7","Austin, TX","Austin, TX",501 - 1000 ,-1,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,0,0,82,129(Employer est.),82,129,105.5,Applied Research Laboratories,TX,-1,data scientist,na,na
413,528,Senior Scientist - Toxicologist - Product Integrity (Stewardship),3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC",5001 - 10000 ,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,47,101 ,47,101,74.0,Reynolds American,NC,146,other scientist,sr,M
414,530,Systems Engineer II - Data Analyst,3.7,"Raytheon
3.7","Huntsville, AL","Waltham, MA",10000+ ,1922,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,49,76 ,49,76,62.5,Raytheon,AL,99,analyst,na,na
415,532,Senior Research Analytical Scientist-Non-Targeted Analysis,4.3,"RTI International
4.3","Durham, NC","Research Triangle Park, NC",1001 - 5000 ,1958,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Westat, Abt Associates, Chemonics International",0,0,43,88 ,43,88,65.5,RTI International,NC,63,other scientist,sr,P
416,533,Director Data Science,3.6,"TRANZACT
3.6","Fort Lee, NJ","Fort Lee, NJ",1001 - 5000 ,1989,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,124,199 ,124,199,161.5,TRANZACT,NJ,32,data scientist,na,na
417,534,Sr Data Analyst - IT,2.1,"United BioSource
2.1","Blue Bell, PA","Blue Bell, PA",1001 - 5000 ,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covance, ICON",0,0,52,93 ,52,93,72.5,United BioSource,PA,18,analyst,sr,na
418,535,Senior Data Engineer,3.9,"Figure Eight
3.9","San Francisco, CA","San Francisco, CA",51 - 200 ,2008,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,0,0,97,181 ,97,181,139.0,Figure Eight,CA,13,data engineer,sr,na
419,537,Senior Data Engineer,3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA",201 - 500 ,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",0,0,100,173 ,100,173,136.5,Tapjoy,CA,14,data engineer,sr,na
420,538,Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,3.8,"Fareportal
3.8","New York, NY","New York, NY",1001 - 5000 ,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com",0,0,53,96 ,53,96,74.5,Fareportal,NY,19,data scientist,na,na
421,539,Senior Scientist - Biostatistician,3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC",5001 - 10000 ,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,65,96 ,65,96,80.5,Reynolds American,NC,146,other scientist,sr,M
422,540,Data Scientist,3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,56,95 ,56,95,75.5,Sartorius,NM,151,data scientist,na,M
423,541,Data Scientist,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176 ,111,176,143.5,1904labs,MO,5,data scientist,na,na
424,542,Data Scientist,5.0,"Royce Geospatial
5.0","Springfield, VA","Arlington, VA",51 - 200 ,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1,0,0,75,127 ,75,127,101.0,Royce Geospatial,VA,7,data scientist,na,na
425,543,Data Engineer,3.6,"MassMutual
3.6","Springfield, MA","Springfield, MA",5001 - 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,65,119 ,65,119,92.0,MassMutual,MA,170,data engineer,na,na
426,544,Computational Chemist/Data Scientist,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97 ,56,97,76.5,PNNL,WA,56,data scientist,na,P
427,545,Principal Data Scientist (Computational Chemistry),4.7,"Recursion Pharmaceuticals
4.7","Salt Lake City, UT","Salt Lake City, UT",51 - 200 ,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,108,173 ,108,173,140.5,Recursion Pharmaceuticals,UT,8,data scientist,sr,na
428,546,Data Scientist,3.6,"Citi
3.6","Jersey City, NJ","New York, NY",10000+ ,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,0,0,94,139 ,94,139,116.5,Citi,NJ,209,data scientist,na,na
429,548,Principal Machine Learning Scientist,4.7,"Sage Intacct
4.7","San Francisco, CA","San Jose, CA",501 - 1000 ,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,176,289 ,176,289,232.5,Sage Intacct,CA,22,machine learning engineer,sr,P
430,549,Data Scientist,3.5,"Scale AI
3.5","San Francisco, CA","San Francisco, CA",51 - 200 ,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,92,149 ,92,149,120.5,Scale AI,CA,5,data scientist,na,P
431,550,Product Engineer – Data Science,3.5,"Esri
3.5","Arlington, VA","Redlands, CA",1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,63,101 ,63,101,82.0,Esri,VA,52,data scientist,na,M
432,552,"Principal Scientist, Chemistry & Immunology",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,54,115 ,54,115,84.5,Rochester Regional Health,NY,7,other scientist,sr,P
433,554,Data Scientist,2.7,"Change Healthcare
2.7","Emeryville, CA","Nashville, TN",10000+ ,2007,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,118,188 ,118,188,153.0,Change Healthcare,CA,14,data scientist,na,P
434,555,Data Scientist,3.4,"MZ
3.4","Palo Alto, CA","Palo Alto, CA",501 - 1000 ,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,108,146 ,108,146,127.0,MZ,CA,13,data scientist,na,M
435,556,Data Scientist,4.7,"HG Insights
4.7","Santa Barbara, CA","Santa Barbara, CA",51 - 200 ,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,65,106 ,65,106,85.5,HG Insights,CA,11,data scientist,na,P
436,557,Data Scientist,2.8,"1-800-FLOWERS.COM, Inc.
2.8","Carle Place, NY","Carle Place, NY",1001 - 5000 ,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),-1,0,0,55,98 ,55,98,76.5,"1-800-FLOWERS.COM, Inc.",NY,45,data scientist,na,na
437,558,Data Scientist,3.5,"CBS Interactive
3.5","New York, NY","San Francisco, CA",1001 - 5000 ,1992,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),"NBCUniversal, Comcast, Netflix",0,0,94,162 ,94,162,128.0,CBS Interactive,NY,29,data scientist,na,na
438,560,Data Engineer,3.2,"Numeric, LLC
3.2","King of Prussia, PA","Chadds Ford, PA",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,63,120 ,63,120,91.5,"Numeric, LLC",PA,-1,data engineer,na,na
439,561,"Scientist/Senior Scientist, Autoimmune",4.4,"Rubius Therapeutics
4.4","Cambridge, MA","Cambridge, MA",201 - 500 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,0,0,90,179 ,90,179,134.5,Rubius Therapeutics,MA,8,other scientist,sr,P
440,562,Data Scientist,3.3,"Samba TV
3.3","San Francisco, CA","San Francisco, CA",201 - 500 ,2008,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,127,202 ,127,202,164.5,Samba TV,CA,13,data scientist,na,na
441,563,Software Engineer - Data Visualization,4.0,"ClearEdge
4.0","Annapolis Junction, MD","Annapolis Junction, MD",51 - 200 ,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,0,0,60,127 ,60,127,93.5,ClearEdge,MD,19,na,na,M
442,565,Market Data Analyst,3.4,"SV Microwave
3.4","West Palm Beach, FL","West Palm Beach, FL",201 - 500 ,1991,Company - Public,Telecommunications Manufacturing,Telecommunications,$50 to $100 million (USD),-1,0,0,31,57 ,31,57,44.0,SV Microwave,FL,30,analyst,na,M
443,566,Staff Data Engineer,3.8,"Sumo Logic
3.8","Austin, TX","Redwood City, CA",501 - 1000 ,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Splunk, Datadog, Elastic",0,0,105,194 ,105,194,149.5,Sumo Logic,TX,11,data engineer,na,M
444,567,Associate Data Engineer,3.5,"EAB
3.5","Washington, DC","Washington, DC",1001 - 5000 ,2007,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,0,0,45,86 ,45,86,65.5,EAB,DC,14,data engineer,na,M
445,568,Data Engineer,4.4,"SpringML
4.4","Herndon, VA","Pleasanton, CA",Jan-50,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,75,143 ,75,143,109.0,SpringML,VA,6,data engineer,na,na
446,570,Staff Data Engineer,3.7,"Samsung Research America
3.7","Mountain View, CA","Mountain View, CA",1001 - 5000 ,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),"Sony, LG Electronics, Nokia",0,0,126,228 ,126,228,177.0,Samsung Research America,CA,33,data engineer,na,P
447,572,Data Scientist,4.7,"Systems & Technology Research
4.7","Arlington, VA","Woburn, MA",201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,80,134 ,80,134,107.0,Systems & Technology Research,VA,11,data scientist,na,P
448,573,Data Scientist,4.1,"Netskope
4.1","Santa Clara, CA","Santa Clara, CA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189 ,120,189,154.5,Netskope,CA,9,data scientist,na,P
449,575,Data Scientist,4.0,"Lorven Technologies Inc
4.0","Santa Clara, CA","Plainsboro, NJ",Jan-50,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,0,0,85,142 ,85,142,113.5,Lorven Technologies Inc,CA,-1,data scientist,na,na
450,576,Senior Data Scientist,3.5,"Brighthouse Financial
3.5","Charlotte, NC","Charlotte, NC",1001 - 5000 ,2017,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,0,0,95,154 ,95,154,124.5,Brighthouse Financial,NC,4,data scientist,sr,M
451,577,Data Scientist,2.5,"CareDx
2.5","Brisbane, CA","Brisbane, CA",Jan-50,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Sequenom,0,0,111,176 ,111,176,143.5,CareDx,CA,-1,data scientist,na,P
452,578,Data Scientist,3.9,"Serigor Inc.
3.9","San Francisco, CA","Baltimore, MD",Jan-50,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,0,0,87,140 ,87,140,113.5,Serigor Inc.,CA,-1,data scientist,na,M
453,579,Data Scientist,3.4,"Leidos
3.4","Springfield, VA","Reston, VA",10000+ ,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,76,127 ,76,127,101.5,Leidos,VA,52,data scientist,na,M
454,580,"Data Analyst, Performance Partnership",3.6,"Beckman Coulter Diagnostics
3.6","New York, NY","Brea, CA",10000+ ,1935,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Abbott Laboratories, Roche, Thermo Fisher Scientific",0,0,54,92 ,54,92,73.0,Beckman Coulter Diagnostics,NY,86,analyst,na,na
455,582,Data Scientist,3.5,"IHS Markit
3.5","New York, NY","London, United Kingdom",10000+ ,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),"Thomson Reuters, International Data Group",0,0,61,100 ,61,100,80.5,IHS Markit,NY,5,data scientist,na,M
456,583,Data Scientist,-1.0,ALIN,"New York, NY","Noida, India",unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,81,140 ,81,140,110.5,ALI,NY,-1,data scientist,na,M
457,585,Staff BI and Data Engineer,2.9,"Affinity Solutions
2.9","San Jose, CA","New York, NY",51 - 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,80,148 ,80,148,114.0,Affinity Solutions,CA,23,data engineer,na,M
458,586,Data Scientist,3.5,"e-IT Professionals Corp.
3.5","Foster City, CA","Canton, MI",51 - 200 ,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),-1,0,0,108,171 ,108,171,139.5,e-IT Professionals Corp.,CA,-1,data scientist,na,na
459,587,Data Scientist,4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ",Jan-50,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,112,179 ,112,179,145.5,TechProjects,NY,10,data scientist,na,na
460,588,Data Scientist,4.0,"Biz2Credit Inc
4.0","New York, NY","New York, NY",201 - 500 ,2007,Company - Private,Lending,Finance,$100 to $500 million (USD),"Fundera, Bond Street, OnDeck",0,0,63,111 ,63,111,87.0,Biz2Credit Inc,NY,14,data scientist,na,na
461,589,Data Scientist,4.2,"PeoplesBank
4.2","Holyoke, MA","Holyoke, MA",201 - 500 ,1885,Company - Private,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1,0,0,75,126 ,75,126,100.5,PeoplesBank,MA,136,data scientist,na,M
462,590,Data Scientist Manager,3.8,"Capgemini
3.8","New York, NY","Paris, France",10000+ ,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",0,0,110,184 ,110,184,147.0,Capgemini,NY,54,data scientist,na,M
463,591,Data Engineer,3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 - 500 ,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",0,0,76,145 ,76,145,110.5,GNY Insurance Companies,NY,107,data engineer,na,M
464,594,Marketing Data Analyst,3.9,"Citadel Federal Credit Union
3.9","Exton, PA","Exton, PA",501 - 1000 ,1937,Nonprofit Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"TruMark Financial, North Island Credit Union, CommunityAmerica Credit Union",0,0,36,62 ,36,62,49.0,Citadel Federal Credit Union,PA,84,analyst,na,na
465,595,Data Scientist,4.6,"Conch Technologies, Inc
4.6","Waltham, MA","Memphis, TN",51 - 200 ,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,0,0,70,118 ,70,118,94.0,"Conch Technologies, Inc",MA,-1,data scientist,na,M
466,597,Senior Data Scientist,4.3,"Medidata Solutions
4.3","New York, NY","New York, NY",1001 - 5000 ,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,0,0,94,153 ,94,153,123.5,Medidata Solutions,NY,22,data scientist,sr,M
467,599,"Principal Scientist, Hematology",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,54,115 ,54,115,84.5,Rochester Regional Health,NY,7,other scientist,sr,P
468,600,Data Analyst,3.7,"CALIBRE Systems
3.7","Alexandria, VA","Alexandria, VA",501 - 1000 ,1989,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"CSC, Booz Allen Hamilton, ManTech",0,0,50,92 ,50,92,71.0,CALIBRE Systems,VA,32,analyst,na,na
469,601,Software Data Engineer - College,4.0,"HP Inc.
4.0","Corvallis, OR","Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,49,97 ,49,97,73.0,HP Inc.,OR,82,data engineer,na,M
470,602,"Director - Data, Privacy and AI Governance",3.6,"MassMutual
3.6","Boston, MA","Springfield, MA",5001 - 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,67,135 ,67,135,101.0,MassMutual,MA,170,director,na,na
471,603,Staff Machine Learning Engineer,3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA",201 - 500 ,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",0,0,138,224 ,138,224,181.0,Tapjoy,CA,14,machine learning engineer,na,na
472,604,Data Scientist,3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+ ,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,80,139 ,80,139,109.5,Northrop Grumman,CA,82,data scientist,na,na
473,605,Lead Data Scientist,3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158,211 ,158,211,184.5,Visa Inc.,WA,63,data scientist,sr,na
474,606,Senior Data Scientist - Algorithms,3.9,"Quartet Health
3.9","New York, NY","New York, NY",201 - 500 ,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,150,180 ,150,180,165.0,Quartet Health,NY,7,data scientist,sr,M
475,607,Information Security Data Analyst,3.7,"Motorola Solutions
3.7","Chicago, IL","Chicago, IL",10000+ ,1928,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),"Cisco Systems, Huawei Technologies, IBM",0,0,42,80 ,42,80,61.0,Motorola Solutions,IL,93,analyst,na,M
476,608,Lead Data Engineer,4.1,"Credit Sesame
4.1","Mountain View, CA","Mountain View, CA",51 - 200 ,2010,Company - Private,Internet,Information Technology,$50 to $100 million (USD),"Credit Karma, LendUp, SoFi",0,0,190,220(Employer est.),190,220,205.0,Credit Sesame,CA,11,data engineer,sr,na
477,609,Data Analyst,3.1,"Success Academy Charter Schools
3.1","New York, NY","New York, NY",1001 - 5000 ,2006,School / School District,K-12 Education,Education,$100 to $500 million (USD),-1,0,0,42,77 ,42,77,59.5,Success Academy Charter Schools,NY,15,analyst,na,na
478,610,Scientist Manufacturing - Kentucky BioProcessing,3.1,"Reynolds American
3.1","Owensboro, KY","Winston-Salem, NC",5001 - 10000 ,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,68,139 ,68,139,103.5,Reynolds American,KY,146,other scientist,na,na
